AISC_Manual_Label,Unnamed: 0,level_0,index,AISC_Manual_Label.1,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
W36X182,109,48,48,W920X271,34600.000 mm²,922.000 mm,271.0,368.0,64.8,10200000.000 mm³,944000.000 mm³,307.000 mm,30.000 mm,18.400 mm,4700000000.000 mm⁴,144000000.000 mm⁴
W27X217,110,89,89,W690X323,41200.000 mm²,721.000 mm,323.0,300.0,84.3,10300000.000 mm³,1640000.000 mm³,358.000 mm,38.100 mm,21.100 mm,3710000000.000 mm⁴,293000000.000 mm⁴
W21X275,111,120,120,W530X409,52800.000 mm²,612.000 mm,409.0,246.0,78.7,10500000.000 mm³,2000000.000 mm³,328.000 mm,55.600 mm,31.000 mm,3200000000.000 mm⁴,328000000.000 mm⁴
W24X250,112,103,103,W610X372,47400.000 mm²,668.000 mm,372.0,272.0,79.8,10600000.000 mm³,1800000.000 mm³,335.000 mm,48.000 mm,26.400 mm,3530000000.000 mm⁴,301000000.000 mm⁴
W14X398,113,184,184,W360X592,75500.000 mm²,465.000 mm,592.0,182.0,109.0,10700000.000 mm³,4290000.000 mm³,422.000 mm,72.400 mm,45.000 mm,2500000000.000 mm⁴,903000000.000 mm⁴
W30X211,114,72,72,W760X314,40200.000 mm²,785.000 mm,314.0,328.0,88.6,10900000.000 mm³,1640000.000 mm³,384.000 mm,33.500 mm,19.700 mm,4290000000.000 mm⁴,315000000.000 mm⁴
W36X194,115,47,47,W920X289,36800.000 mm²,927.000 mm,289.0,371.0,65.0,10900000.000 mm³,1010000.000 mm³,307.000 mm,32.000 mm,19.400 mm,5040000000.000 mm⁴,156000000.000 mm⁴
W27X235,116,88,88,W690X350,44800.000 mm²,729.000 mm,350.0,300.0,84.6,11100000.000 mm³,1770000.000 mm³,361.000 mm,40.900 mm,23.100 mm,4040000000.000 mm⁴,320000000.000 mm⁴
W40X183,117,25,25,W1000X272,34400.000 mm²,991.000 mm,272.0,399.0,63.2,11100000.000 mm³,918000.000 mm³,300.000 mm,30.500 mm,16.500 mm,5490000000.000 mm⁴,138000000.000 mm⁴
W33X201,118,60,60,W840X299,38100.000 mm²,856.000 mm,299.0,356.0,90.4,11200000.000 mm³,1560000.000 mm³,399.000 mm,29.200 mm,18.200 mm,4830000000.000 mm⁴,312000000.000 mm⁴
W14X426,119,183,183,W360X634,80600.000 mm²,475.000 mm,634.0,184.0,110.0,11600000.000 mm³,4640000.000 mm³,424.000 mm,77.200 mm,47.800 mm,2750000000.000 mm⁴,982000000.000 mm⁴
W24X279,120,102,102,W610X415,52800.000 mm²,678.000 mm,415.0,274.0,80.5,11800000.000 mm³,2030000.000 mm³,338.000 mm,53.100 mm,29.500 mm,4000000000.000 mm⁴,343000000.000 mm⁴
W36X210,121,46,46,W920X313,39900.000 mm²,932.000 mm,313.0,371.0,65.5,11800000.000 mm³,1110000.000 mm³,310.000 mm,34.500 mm,21.100 mm,5490000000.000 mm⁴,171000000.000 mm⁴
W27X258,122,87,87,W690X384,49100.000 mm²,737.000 mm,384.0,302.0,85.3,12200000.000 mm³,1970000.000 mm³,363.000 mm,45.000 mm,24.900 mm,4500000000.000 mm⁴,358000000.000 mm⁴
W30X235,123,71,71,W760X350,44700.000 mm²,795.000 mm,350.0,330.0,89.2,12300000.000 mm³,1870000.000 mm³,384.000 mm,38.100 mm,21.100 mm,4870000000.000 mm⁴,356000000.000 mm⁴
W14X455,124,182,182,W360X677,86500.000 mm²,483.000 mm,677.0,186.0,111.0,12400000.000 mm³,4980000.000 mm³,427.000 mm,81.500 mm,51.300 mm,2990000000.000 mm⁴,1070000000.000 mm⁴
W33X221,125,59,59,W840X329,42100.000 mm²,861.000 mm,329.0,358.0,91.2,12400000.000 mm³,1740000.000 mm³,401.000 mm,32.500 mm,19.700 mm,5370000000.000 mm⁴,350000000.000 mm⁴
W40X199,126,16,16,W1000X296,37900.000 mm²,983.000 mm,296.0,406.0,87.6,12600000.000 mm³,1450000.000 mm³,401.000 mm,27.200 mm,16.500 mm,6200000000.000 mm⁴,289000000.000 mm⁴
W40X211,127,24,24,W1000X314,40100.000 mm²,1.000 m,314.0,401.0,63.8,12900000.000 mm³,1080000.000 mm³,300.000 mm,36.100 mm,19.100 mm,6450000000.000 mm⁴,162000000.000 mm⁴
W24X306,128,101,101,W610X455,57900.000 mm²,688.000 mm,455.0,277.0,81.3,12900000.000 mm³,2250000.000 mm³,340.000 mm,57.900 mm,32.000 mm,4450000000.000 mm⁴,383000000.000 mm⁴
W27X281,129,86,86,W690X419,53600.000 mm²,744.000 mm,419.0,305.0,86.1,13300000.000 mm³,2180000.000 mm³,366.000 mm,49.000 mm,26.900 mm,4950000000.000 mm⁴,397000000.000 mm⁴
W36X232,130,45,45,W920X345,43900.000 mm²,943.000 mm,345.0,376.0,66.5,13300000.000 mm³,1270000.000 mm³,307.000 mm,39.900 mm,22.100 mm,6240000000.000 mm⁴,195000000.000 mm⁴
