,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
74,W360X91,W14X61,11500,353,91.0,152.0,62.2,1510000.0,352000.0,254,16.4,9.53,266000000.0,44500000.0
75,W610X92,W24X62,11700,602,92.0,234.0,35.1,2150000.0,161000.0,179,15,10.9,645000000.0,14400000.0
76,W530X92,W21X62,11800,533,92.0,217.0,45.0,2080000.0,229000.0,209,15.6,10.2,554000000.0,23900000.0
77,W460X97,W18X65,12300,467,97.0,190.0,42.9,1920000.0,236000.0,193,19.1,11.4,445000000.0,22800000.0
78,W310X97,W12X65,12300,307,97.0,134.0,76.7,1440000.0,477000.0,305,15.4,9.91,222000000.0,72400000.0
79,W410X100,W16X67,12600,414,100.0,177.0,62.5,1920000.0,380000.0,259,16.9,10,397000000.0,49500000.0
80,W200X100,W8X67,12700,229,100.0,94.5,53.8,990000.0,351000.0,210,23.7,14.5,113000000.0,36900000.0
81,W250X101,W10X68,12800,264,101.0,113.0,65.8,1240000.0,433000.0,257,19.6,11.9,164000000.0,55800000.0
82,W360X101,W14X68,12900,356,101.0,153.0,62.5,1690000.0,397000.0,254,18.3,10.5,301000000.0,50400000.0
83,W530X101,W21X68,12900,536,101.0,218.0,45.7,2290000.0,257000.0,210,17.4,10.9,616000000.0,26900000.0
84,W610X101,W24X68,13000,602,101.0,243.0,47.5,2520000.0,257000.0,228,14.9,10.5,762000000.0,29300000.0
85,W460X106,W18X71,13500,470,106.0,191.0,43.2,2080000.0,259000.0,194,20.6,12.6,487000000.0,25100000.0
86,W310X107,W12X72,13600,312,107.0,135.0,77.2,1600000.0,531000.0,305,17,10.9,248000000.0,81200000.0
87,W530X109,W21X73,13900,538,109.0,219.0,46.0,2470000.0,279000.0,211,18.8,11.6,666000000.0,29400000.0
88,W360X110,W14X74,14100,361,110.0,153.0,63.0,1840000.0,436000.0,257,19.9,11.4,331000000.0,55800000.0
89,W460X113,W18X76,14400,462,113.0,196.0,66.3,2390000.0,452000.0,279,17.3,10.8,554000000.0,63300000.0
90,W610X113,W24X76,14500,607,113.0,246.0,48.8,2880000.0,302000.0,228,17.3,11.2,874000000.0,34300000.0
91,W250X115,W10X77,14600,269,115.0,114.0,66.0,1410000.0,493000.0,259,22.1,13.5,189000000.0,64099999.99999999
