,level_0,index,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
250,250,250,W250X67,W10X45,8580,257,67.0,110.0,51.1,805.0,218.0,204,15.7,8.89,103.0,22.2
251,251,251,W250X58,W10X39,7420,252,58.0,108.0,50.3,690.0,185.0,203,13.5,8,87.0,18.7
252,252,252,W250X49.1,W10X33,6260,247,49.1,106.0,49.3,574.0,151.0,202,11,7.37,71.2,15.2
253,253,253,W250X44.8,W10X30,5700,267,44.8,111.0,34.8,531.0,94.2,148,13,7.62,70.8,6.95
254,254,254,W250X38.5,W10X26,4910,262,38.5,110.0,34.5,457.0,80.1,147,11.2,6.6,59.9,5.87
255,255,255,W250X32.7,W10X22,4190,259,32.7,108.0,33.8,380.0,65.1,146,9.14,6.1,49.1,4.75
256,256,256,W250X28.4,W10X19,3630,259,28.4,105.0,22.2,308.0,35.1,102,10,6.35,40.1,1.79
257,257,257,W250X25.3,W10X17,3220,257,25.3,103.0,21.5,265.0,29.2,102,8.38,6.1,34.1,1.48
258,258,258,W250X22.3,W10X15,2850,254,22.3,100.0,20.6,226.0,23.8,102,6.86,5.84,28.7,1.2
259,259,259,W250X17.9,W10X12,2280,251,17.9,99.1,19.9,179.0,18.0,101,5.33,4.83,22.4,0.907
260,260,260,W200X100,W8X67,12700,229,100.0,94.5,53.8,990.0,351.0,210,23.7,14.5,113.0,36.9
261,261,261,W200X86,W8X58,11000,222,86.0,92.7,53.3,852.0,300.0,209,20.6,13,94.9,31.3
262,262,262,W200X71,W8X48,9100,216,71.0,91.7,52.8,708.0,246.0,206,17.4,10.2,76.6,25.3
263,263,263,W200X59,W8X40,7550,210,59.0,89.7,51.8,582.0,200.0,205,14.2,9.14,60.8,20.4
264,264,264,W200X52,W8X35,6650,206,52.0,89.2,51.6,511.0,174.0,204,12.6,7.87,52.9,17.7
265,265,265,W200X46.1,W8X31,5890,203,46.1,88.1,51.3,451.0,152.0,203,11,7.24,45.8,15.4
266,266,266,W200X41.7,W8X28,5320,205,41.7,87.6,41.1,398.0,109.0,166,11.8,7.24,40.8,9.03
267,267,267,W200X35.9,W8X24,4570,201,35.9,86.9,40.9,342.0,92.3,165,10.2,6.22,34.4,7.62
268,268,268,W200X31.3,W8X21,3970,210,31.3,88.6,32.0,298.0,60.8,134,10.2,6.35,31.3,4.07
269,269,269,W200X26.6,W8X18,3390,207,26.6,87.1,31.2,249.0,49.8,133,8.38,5.84,25.8,3.32
270,270,270,W200X22.5,W8X15,2860,206,22.5,83.6,22.3,193.0,27.9,102,8,6.22,20.0,1.42
271,271,271,W200X19.3,W8X13,2480,203,19.3,81.5,21.4,162.0,22.5,102,6.48,5.84,16.5,1.14
272,272,272,W200X15,W8X10,1910,200,15.0,81.8,21.4,128.0,17.4,100,5.21,4.32,12.8,0.87
273,273,273,W150X37.1,W6X25,4740,162,37.1,68.6,38.6,274.0,91.9,154,11.6,8.13,22.2,7.12
274,274,274,W150X29.8,W6X20,3790,157,29.8,67.6,38.1,220.0,72.3,153,9.27,6.6,17.2,5.54
275,275,275,W150X22.5,W6X15,2860,152,22.5,65.0,36.8,159.0,51.0,152,6.6,5.84,12.1,3.88
276,276,276,W150X24,W6X16,3060,160,24.0,66.0,24.6,167.0,36.1,102,10.3,6.6,13.4,1.84
277,277,277,W150X18,W6X12,2290,153,18.0,63.2,23.3,120.0,24.6,102,7.11,5.84,9.2,1.24
278,278,278,W150X13.5,W6X9,1730,150,13.5,62.7,23.0,91.1,18.2,100,5.46,4.32,6.83,0.916
279,279,279,W150X13,W6X8.5,1630,148,13.0,61.7,22.6,83.6,16.6,100,4.95,4.32,6.2,0.828
280,280,280,W130X28.1,W5X19,3590,131,28.1,55.1,32.5,167.0,59.5,128,10.9,6.86,10.9,3.8
281,281,281,W130X23.8,W5X16,3040,127,23.8,54.1,32.0,140.0,49.2,127,9.14,6.1,8.91,3.13
282,282,282,W100X19.3,W4X13,2470,106,19.3,43.7,25.4,89.5,31.1,103,8.76,7.11,4.7,1.61
